name,source,key_or_path,type,category,description,api_output,desired_output,transform_function
json_url,json,games[].url,string,identity,"Canonical game URL (primary key)",url,url,
json_pgn,json,games[].pgn,text,pgn,"Final PGN text including headers and moves",full PGN,full PGN,
json_time_control,json,games[].time_control,string,time,"PGN-style time control","e.g. 60, 300+2, 1/86400",same,
json_end_time_epoch,json,games[].end_time,number,time,End-of-game epoch seconds,epoch seconds,same,
json_rated,json,games[].rated,boolean,metadata,Whether rated,true/false,true/false,
json_accuracies_white,json,games[].accuracies.white,number,analysis,White accuracy percent,number,same,
json_accuracies_black,json,games[].accuracies.black,number,analysis,Black accuracy percent,number,same,
json_final_fen,json,games[].fen,string,board,Final position FEN,string,same,
json_time_class,json,games[].time_class,string,time,"Time class label","e.g. blitz",lowercase,normalize_lowercase
json_rules,json,games[].rules,string,variant,Variant/rules,"e.g. chess960",lowercase,normalize_lowercase
json_white_rating,json,games[].white.rating,number,ratings,White post-game rating,number,same,
json_white_result,json,games[].white.result,string,result,White result code,string,string,map_result_to_outcome
json_white_id,json,games[].white.@id,string,identity,White profile URL,url,url,
json_white_username,json,games[].white.username,string,identity,White username,string,string,
json_white_uuid,json,games[].white.uuid,string,identity,White member UUID,uuid,uuid,
json_black_rating,json,games[].black.rating,number,ratings,Black post-game rating,number,same,
json_black_result,json,games[].black.result,string,result,Black result code,string,string,map_result_to_outcome
json_black_id,json,games[].black.@id,string,identity,Black profile URL,url,url,
json_black_username,json,games[].black.username,string,identity,Black username,string,string,
json_black_uuid,json,games[].black.uuid,string,identity,Black member UUID,uuid,uuid,
json_eco_url,json,games[].eco,string,opening,ECO URL if present,url,url,

pgn_event,pgn,Event,string,metadata,Event name,string,string,
pgn_site,pgn,Site,string,metadata,Site provider,string,string,
pgn_date,pgn,Date,string,time,Local date of event,"yyyy.MM.dd",string,
pgn_round,pgn,Round,string,metadata,Round indicator,string,string,
pgn_white,pgn,White,string,identity,White username,string,string,
pgn_black,pgn,Black,string,identity,Black username,string,string,
pgn_result,pgn,Result,string,result,PGN result token,"1-0|0-1|1/2-1/2",string,
pgn_current_position,pgn,CurrentPosition,string,board,Snapshot FEN at save time,FEN,FEN,
pgn_timezone,pgn,Timezone,string,time,Timezone tag,string,string,
